gender,description,link_color,profileimage,sidebar_color,text,cln_desc,cln_text,saved_image
male,i sing my own rhythm.,08C2C2,https://pbs.twimg.com/profile_images/414342229096808449/fYvzqXN7_normal.png,FFFFFF,Robbie E Responds To Critics After Win Against Eddie Edwards In The #WorldTitleSeries https://t.co/NSybBmVjKZ,i sing my own rhythm.,robbie e responds to critics after win against eddie edwards in the worldtitleseries https://t.co/nsybbmvjkz,./pro_img/fYvzqXN7_normal.png
male,I'm the author of novels filled with family drama and romance.,0084B4,https://pbs.twimg.com/profile_images/539604221532700673/WW16tBbU_normal.jpeg,C0DEED,ÛÏIt felt like they were my friends and I was living the story with themÛ https://t.co/arngE0YHNO #retired #IAN1 https://t.co/CIzCANPQFz,i'm the author of novels filled with family drama and romance.,ûïit felt like they were my friends and i was living the story with themû https://t.co/arnge0yhno retired ian1 https://t.co/cizcanpqfz,./pro_img/WW16tBbU_normal.jpeg
male,The secret of getting ahead is getting started.,0000FF,https://pbs.twimg.com/profile_images/508875440107180032/apOHVAt8_normal.jpeg,C0DEED,"Gala Bingo clubs bought for å£241m: The UK's largest High Street bingo operator, Gala, is being taken over byÛ_ https://t.co/HzeeykJUd3",the secret of getting ahead is getting started.,gala bingo clubs bought for å£241m the uk's largest high street bingo operator gala is being taken over byû_ https://t.co/hzeeykjud3,./pro_img/apOHVAt8_normal.jpeg
male,"Over enthusiastic F1 fan.  Model collector, music fan and a film fanatic.  Also an Aspergian.",0084B4,https://pbs.twimg.com/profile_images/613850179880517634/m_B2ujkb_normal.jpg,C0DEED,@coolyazzy94 Ditto - I'm still learning the favourites and retweet stuff - least it sucks less than Facebook haha :P,over enthusiastic f1 fan model collector music fan and a film fanatic also an aspergian.,@coolyazzy94 ditto i'm still learning the favourites and retweet stuff least it sucks less than facebook haha p,./pro_img/m_B2ujkb_normal.jpg
male,BSc economics graduate  #COYS,0084B4,https://pbs.twimg.com/profile_images/588820454988709890/UtTyYkTY_normal.jpg,C0DEED,James Bond premier night at the @Everymancinema in Oxted with @SidiEdey. Let's hope it lives up to expectation! #SPECTRE,bsc economics graduate #coys,james bond premier night at the everymancinema in oxted with sidiedey let's hope it lives up to expectation spectre,./pro_img/UtTyYkTY_normal.jpg
female,Wife to my Coach. Mom to my eight troops. Follower of Christ.,0084B4,https://pbs.twimg.com/profile_images/645403816213393408/cb9Ur4jH_normal.jpg,C0DEED,@SydnieJR except once the Hallmark movies start I won't get anything done!! _Ù÷__Ù__Ù_ã,wife to my coach mom to my eight troops follower of christ.,@sydniejr except once the hallmark movies start i won't get anything done! _ù÷__ù__ù_ã,./pro_img/cb9Ur4jH_normal.jpg
male,"Award Winning Author of the paranormal Romance thriller, Hath No Fury  technology writer,
http://t.co/LmMiOwenQQ #ASMSG",DD2E44,https://pbs.twimg.com/profile_images/3636528327/1830a46d522a2db8e1a5d22c2cf3b1cb_normal.jpeg,FFFFFF,All the #magic in Hath No FURY is based on REAL #Magick! https://t.co/jwpsVhAU1E,award winning author of the paranormal romance thriller hath no fury technology writer http://t.co/lmmiowenqq asmsg,all the magic in hath no fury is based on real magick https://t.co/jwpsvhau1e,./pro_img/1830a46d522a2db8e1a5d22c2cf3b1cb_normal.jpeg
male,Kennedy J Abulala ni mwalimu anayeienzi kazi yake.....mwalimu wa kiswahili.,0084B4,https://pbs.twimg.com/profile_images/621662235459391489/74hr0ed1_normal.jpg,C0DEED,@kbonimtetezi mheshimiwa travellers along that stretch of the road (lubao) r hurting and nobody seems to be raising this issue!,kennedy j abulala ni mwalimu anayeienzi kazi yake.....mwalimu wa kiswahili.,@kbonimtetezi mheshimiwa travellers along that stretch of the road lubao r hurting and nobody seems to be raising this issue!,./pro_img/74hr0ed1_normal.jpg
male,"Home Office & Business are sweet business! I can do it , you can",0084B4,https://pbs.twimg.com/profile_images/508631838240157696/mNbhEHAR_normal.jpeg,C0DEED,"Gala Bingo clubs bought for å£241m: The UK's largest High Street bingo operator, Gala, is being taken over byÛ_ https://t.co/XprInke1m2",home office business are sweet business i can do it you can,gala bingo clubs bought for å£241m the uk's largest high street bingo operator gala is being taken over byû_ https://t.co/xprinke1m2,./pro_img/mNbhEHAR_normal.jpeg
female,"GoodMorning Mentions Anyone !! 

 #RETWEEET 

Must Follow Back Ï¬
 
#Fav for a FollowªÈü",0084B4,https://pbs.twimg.com/profile_images/464850935575887872/5x2iLmwY_normal.jpeg,C0DEED,"VIDEO: James Bond Spectre world premiere: After months of build up Spectre, the latestÛ_ https://t.co/uV38Wlg5bE #UK",goodmorning mentions anyone #retweeet must follow back ï fav for a followªèü,video james bond spectre world premiere after months of build up spectre the latestû_ https://t.co/uv38wlg5be uk,./pro_img/5x2iLmwY_normal.jpeg
female,"This is control. 
Jpn versionàÕ @Zoe_o_Jbot            Rayark-Implosion",0084B4,https://pbs.twimg.com/profile_images/607553110693666816/0NPWHIZh_normal.jpg,C0DEED,"Once it is complete, it will lift off and attempt to connect with the alpha point of the rift we are observing. (1-2)",this is control jpn versionàõ zoe_o_jbot rayark-implosion,once it is complete it will lift off and attempt to connect with the alpha point of the rift we are observing 1-2),./pro_img/0NPWHIZh_normal.jpg
male,Apollo bot pulling from both AJ and DD. Randomly posts every hour. Spoilers abound. Under construction. Progress: 4-2 (75% complete).,0084B4,https://pbs.twimg.com/profile_images/602117524637888512/s48xMoEi_normal.png,C0DEED,"(Surgical enhancements are for a different part of the body, and, I was kidding...)",apollo bot pulling from both aj and dd randomly posts every hour spoilers abound under construction progress 4-2 75 complete).,(surgical enhancements are for a different part of the body and i was kidding...),./pro_img/s48xMoEi_normal.png
female,A lie gets halfway around the world before the truth has a chance to get its pants on.,0084B4,https://pbs.twimg.com/profile_images/634770327914987520/3mQYlBPd_normal.jpg,C0DEED,"James Walter invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.",a lie gets halfway around the world before the truth has a chance to get its pants on.,james walter invented the bolt-action rifle liquor sexual intercourse and football- in that order.,./pro_img/3mQYlBPd_normal.jpg
female,Calm and Collected. #FollowBackAndSee,0084B4,https://pbs.twimg.com/profile_images/579284873791324160/C71fhLG__normal.jpg,C0DEED,Amazing: See Igbo Village In The United States OfåÊAmerica https://t.co/Z8A95hAQpE https://t.co/qdQ6HnE735,calm and collected followbackandsee,amazing see igbo village in the united states ofåêamerica https://t.co/z8a95haqpe https://t.co/qdq6hne735,./pro_img/C71fhLG__normal.jpg
female,Artist  Õ Re-evaluating life ÕRadiation Oncology student ÕWant 2 make a +ve difference ÕComedian ÕRule-Breaker  Õ  @FORCElectures Õ  LIVE DRAWZ! http://t.co/Nsf5Zd0hfY,FF0877,https://pbs.twimg.com/profile_images/602082590074544128/Rg2OGP-d_normal.jpg,FFFFFF,"@R_M_Appleyard alarm wont work as you can't time the stops in Leeds. Too much traffic ect. A 20min bus ride can take 50 or 12 mins, ya know?",artist õ re-evaluating life õradiation oncology student õwant 2 make a ve difference õcomedian õrule-breaker õ @forcelectures õ live drawz http://t.co/nsf5zd0hfy,@r_m_appleyard alarm wont work as you can't time the stops in leeds too much traffic ect a 20min bus ride can take 50 or 12 mins ya know?,./pro_img/Rg2OGP-d_normal.jpg
female,Charity volunteer,9D582E,https://pbs.twimg.com/profile_images/587683229722877952/SOkhPUxB_normal.png,D9B17E,Move Of The Week Double Leg Stretch Û_ : https://t.co/kxkCEFUxQB ... https://t.co/n7PtOHGaPQ,charity volunteer,move of the week double leg stretch û_ https://t.co/kxkcefuxqb . https://t.co/n7ptohgapq,./pro_img/SOkhPUxB_normal.png
female,"How to Quit Paying for Expensive Medical Visits and Fake Fixes, and Eliminate His Frustrating, Nagging and Constantly Repeating Low Back Pain.",0000FF,https://pbs.twimg.com/profile_images/441066015640666112/AWytWS1a_normal.jpeg,C0DEED,"Flexible Diet Plan: Revealed for the first time, secret methods for losing weight, without having to give upÛ_ https://t.co/yGQYYVCYKi",how to quit paying for expensive medical visits and fake fixes and eliminate his frustrating nagging and constantly repeating low back pain.,flexible diet plan revealed for the first time secret methods for losing weight without having to give upû_ https://t.co/ygqyyvcyki,./pro_img/AWytWS1a_normal.jpeg
male,"born london, grew up basildon, lived cornwall,  most of that at sea. makes no sense. but that's fine.",352FEB,https://pbs.twimg.com/profile_images/1377351428/marrok.logo_normal.jpg,C0DEED,Total loss of respect for the little twat https://t.co/eQstpYJEck,born london grew up basildon lived cornwall most of that at sea makes no sense but that's fine.,total loss of respect for the little twat https://t.co/eqstpyjeck,./pro_img/marrok.logo_normal.jpg
female,Your brain is that bodily organ which starts working the moment you awake and does not stop until you get into the class.,0084B4,https://pbs.twimg.com/profile_images/578719023426248704/0toNxk5e_normal.jpeg,C0DEED,Would Û÷The AffairÛª Be Easier To Watch If The Kids WerenÛªt Such Brats? [Spoilers]: The Showtime series The Affa... https://t.co/o6jpVaUFdz,your brain is that bodily organ which starts working the moment you awake and does not stop until you get into the class.,would û÷the affairûª be easier to watch if the kids werenûªt such brats spoilers] the showtime series the affa.. https://t.co/o6jpvaufdz,./pro_img/0toNxk5e_normal.jpeg
female,It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away.,0000FF,https://pbs.twimg.com/profile_images/533136162924158976/HOP_uILr_normal.jpeg,FFFFFF,#VivienLeigh Gone With The Wind Clark Gable Vivien Leigh #Photo https://t.co/yVO2B34jrw #Film #Actress,it hurts to let go sometimes it seems the harder you try to hold on to something or someone the more it wants to get away.,#vivienleigh gone with the wind clark gable vivien leigh photo https://t.co/yvo2b34jrw film actress,./pro_img/HOP_uILr_normal.jpeg
